id,date,store_nbr,family,sales
3000888,2017-08-16,1,AUTOMOTIVE,3.4964458378307386
3000889,2017-08-16,1,BABY CARE,0.0
3000890,2017-08-16,1,BEAUTY,4.043567633767263
3000891,2017-08-16,1,BEVERAGES,1747.5882143748508
3000892,2017-08-16,1,BOOKS,0.01012966180036293
3000893,2017-08-16,1,BREAD/BAKERY,329.21543189195734
3000894,2017-08-16,1,CELEBRATION,6.697929320359564
3000895,2017-08-16,1,CLEANING,642.2378580592151
3000896,2017-08-16,1,DAIRY,491.3717144119387
3000897,2017-08-16,1,DELI,121.45125788903
3000898,2017-08-16,1,EGGS,123.95339702924399
3000899,2017-08-16,1,FROZEN FOODS,111.3404030066274
3000900,2017-08-16,1,GROCERY I,2618.2746721352955
3000901,2017-08-16,1,GROCERY II,17.97581232507176
3000902,2017-08-16,1,HARDWARE,1.5179308900824902
3000903,2017-08-16,1,HOME AND KITCHEN I,18.983741451516178
3000904,2017-08-16,1,HOME AND KITCHEN II,26.827297922110944
3000905,2017-08-16,1,HOME APPLIANCES,0.011623501941746845
3000906,2017-08-16,1,HOME CARE,204.46134829460198
3000907,2017-08-16,1,LADIESWEAR,13.074891104061647
3000908,2017-08-16,1,LAWN AND GARDEN,28.972535324119647
3000909,2017-08-16,1,LINGERIE,10.0363960249952
3000910,2017-08-16,1,"LIQUOR,WINE,BEER",106.13108723699317
3000911,2017-08-16,1,MAGAZINES,3.740244570711199
3000912,2017-08-16,1,MEATS,277.6659310215593
3000913,2017-08-16,1,PERSONAL CARE,210.90744055362651
3000914,2017-08-16,1,PET SUPPLIES,2.4666958783158197
3000915,2017-08-16,1,PLAYERS AND ELECTRONICS,9.256624864659408
3000916,2017-08-16,1,POULTRY,309.0839728725659
3000917,2017-08-16,1,PREPARED FOODS,49.78434317399126
3000918,2017-08-16,1,PRODUCE,1949.5892455186531
3000919,2017-08-16,1,SCHOOL AND OFFICE SUPPLIES,0.0
3000920,2017-08-16,1,SEAFOOD,24.650215322523287
3000921,2017-08-16,10,AUTOMOTIVE,1.2306579309964167
3000922,2017-08-16,10,BABY CARE,-0.0
3000923,2017-08-16,10,BEAUTY,2.6892343378135606
3000924,2017-08-16,10,BEVERAGES,1013.1807549750617
3000925,2017-08-16,10,BOOKS,-0.0
3000926,2017-08-16,10,BREAD/BAKERY,90.00059157763039
3000927,2017-08-16,10,CELEBRATION,2.356750657555472
3000928,2017-08-16,10,CLEANING,628.3867391023133
3000929,2017-08-16,10,DAIRY,311.16660984320293
3000930,2017-08-16,10,DELI,216.51725910028912
3000931,2017-08-16,10,EGGS,26.431282809916414
3000932,2017-08-16,10,FROZEN FOODS,26.651114995745388
3000933,2017-08-16,10,GROCERY I,2335.7747723036164
3000934,2017-08-16,10,GROCERY II,1.9353046877268056
3000935,2017-08-16,10,HARDWARE,0.48213397218079007
3000936,2017-08-16,10,HOME AND KITCHEN I,7.026669869010426
3000937,2017-08-16,10,HOME AND KITCHEN II,9.486744262096094
3000938,2017-08-16,10,HOME APPLIANCES,0.051709033626438285
3000939,2017-08-16,10,HOME CARE,156.6759082117045
3000940,2017-08-16,10,LADIESWEAR,2.817114695028408
3000941,2017-08-16,10,LAWN AND GARDEN,0.0
3000942,2017-08-16,10,LINGERIE,6.495218429555338
3000943,2017-08-16,10,"LIQUOR,WINE,BEER",21.523732848288386
3000944,2017-08-16,10,MAGAZINES,0.42157301625001864
3000945,2017-08-16,10,MEATS,155.26246031449256
3000946,2017-08-16,10,PERSONAL CARE,147.46005111778177
3000947,2017-08-16,10,PET SUPPLIES,0.615751817062735
3000948,2017-08-16,10,PLAYERS AND ELECTRONICS,2.420224331310556
3000949,2017-08-16,10,POULTRY,109.31382189228847
3000950,2017-08-16,10,PREPARED FOODS,18.489163655963868
3000951,2017-08-16,10,PRODUCE,243.96142108379468
3000952,2017-08-16,10,SCHOOL AND OFFICE SUPPLIES,8.472268767321028
3000953,2017-08-16,10,SEAFOOD,1.314997271169645
3000954,2017-08-16,11,AUTOMOTIVE,4.220223899212173
3000955,2017-08-16,11,BABY CARE,0.1663327460199734
3000956,2017-08-16,11,BEAUTY,3.9896610122335083
